wavelength_nm,wavelength_source,Aki,aki_unit,acc,lower_conf,lower_term,lower_J,upper_conf,upper_term,upper_J,lower_energy_eV,upper_energy_eV,energy_unit
3037.39075593,ritz_wl_vac_nm,171.34,1/s,AAA,1s.5f,3F*,4,1s.10g,3G,3,24.043154465835,24.45134757760769,eV
3037.39104633,ritz_wl_vac_nm,134330.0,1/s,AAA,1s.5f,3F*,4,1s.10g,3G,5,24.043154465835,24.45134753858031,eV
3037.39136494,ritz_wl_vac_nm,4367.8,1/s,AAA,1s.5f,3F*,4,1s.10g,3G,4,24.043154465835,24.45134749576287,eV
3037.39482481,ritz_wl_vac_nm,123360.0,1/s,AAA,1s.5f,3F*,2,1s.10g,3G,3,24.043155012649,24.45134757760769,eV
3037.39935932,ritz_wl_vac_nm,126710.0,1/s,AAA,1s.5f,1F*,3,1s.10g,1G,4,24.043155648442,24.45134760401285,eV
3037.3995558,ritz_wl_vac_nm,3264.0,1/s,AA,1s.5f,1F*,3,1s.10g,3G,3,24.043155648442,24.45134757760769,eV
3037.40016482,ritz_wl_vac_nm,5078.0,1/s,AA,1s.5f,1F*,3,1s.10g,3G,4,24.043155648442,24.45134749576287,eV
3037.78586439,ritz_wl_vac_nm,1396.0,1/s,AA,1s.5f,3F*,3,1s.10d,1D,2,24.043154084167,24.4512941044573,eV
3037.79750734,ritz_wl_vac_nm,3338.2,1/s,AAA,1s.5f,1F*,3,1s.10d,1D,2,24.043155648442,24.4512941044573,eV
3037.831169883,ritz_wl_vac_nm,2064.4,1/s,AAA,1s.5g,3G,4,1s.10h,3H*,4,24.0432156651818,24.45134959856946,eV
3037.831566933,ritz_wl_vac_nm,79656.0,1/s,AAA,1s.5g,3G,4,1s.10h,3H*,5,24.0432156651818,24.45134954522564,eV
3037.833585662,ritz_wl_vac_nm,1577.0,1/s,AA,1s.5g,3G,5,1s.10h,1H*,5,24.0432160086825,24.45134961750954,eV
3037.833726637,ritz_wl_vac_nm,40.172,1/s,AAA,1s.5g,3G,5,1s.10h,3H*,4,24.0432160086825,24.45134959856946,eV
3037.833915548,ritz_wl_vac_nm,81349.0,1/s,AAA,1s.5g,3G,5,1s.10h,3H*,6,24.0432160086825,24.45134957318928,eV
3037.834123688,ritz_wl_vac_nm,1676.6,1/s,AAA,1s.5g,3G,5,1s.10h,3H*,5,24.0432160086825,24.45134954522564,eV
3037.836051173,ritz_wl_vac_nm,77331.0,1/s,AAA,1s.5g,3G,3,1s.10h,3H*,4,24.0432163209841,24.45134959856946,eV
3037.837474383,ritz_wl_vac_nm,79768.0,1/s,AAA,1s.5g,1G,4,1s.10h,1H*,5,24.0432165311324,24.45134961750954,eV
3037.837615358,ritz_wl_vac_nm,1913.0,1/s,AA,1s.5g,1G,4,1s.10h,3H*,4,24.0432165311324,24.45134959856946,eV
3037.83801241,ritz_wl_vac_nm,15.71,1/s,AA,1s.5g,1G,4,1s.10h,3H*,5,24.0432165311324,24.45134954522564,eV
3037.90811647,ritz_wl_vac_nm,73.81,1/s,AA,1s.5g,3G,4,1s.10f,1F*,3,24.0432156651818,24.451339261024,eV
3037.909455126,ritz_wl_vac_nm,23.137,1/s,AAA,1s.5g,3G,4,1s.10f,3F*,4,24.0432156651818,24.4513390811842,eV
